Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
272-65-1806,A,Istanbul,Normal,Female,Electronic accessories,61,9,27,575,1/15/2019,17:17,Ewallet,548,5,27,4.7
333-73-7901,C,Izmir,Normal,Female,Health and beauty,55,8,22,461,3/23/2019,13:24,Ewallet,439,5,22,7.6
777-82-7220,B,Ankara,Member,Male,Home and lifestyle,30,8,12,253,3/3/2019,13:01,Cash,241,5,12,7.7
280-35-5823,B,Ankara,Member,Female,Home and lifestyle,87,1,4,91,1/17/2019,18:45,Ewallet,87,5,4,7.9
554-53-8700,C,Izmir,Member,Male,Home and lifestyle,56,2,6,118,2/2/2019,10:11,Cash,112,5,6,6.3
354-25-5821,B,Ankara,Member,Female,Sports and travel,69,6,21,435,2/8/2019,13:03,Cash,415,5,21,5.6
228-96-1411,C,Izmir,Member,Female,Food and beverages,99,8,39,829,3/4/2019,20:39,Cash,790,5,39,7.6
617-15-4209,C,Izmir,Member,Male,Health and beauty,15,2,2,32,3/16/2019,19:47,Cash,31,5,2,7.2
132-32-9879,B,Ankara,Member,Female,Electronic accessories,94,4,19,395,3/9/2019,18:00,Cash,376,5,19,9.5
370-41-7321,B,Ankara,Member,Male,Health and beauty,57,9,26,536,2/27/2019,17:24,Credit card,510,5,26,8.4
727-46-3608,B,Ankara,Member,Female,Food and beverages,20,9,9,189,2/6/2019,15:47,Ewallet,180,5,9,4.1
669-54-1719,B,Ankara,Member,Male,Electronic accessories,19,6,6,119,2/10/2019,12:45,Credit card,114,5,6,8.1
574-22-5561,C,Izmir,Member,Female,Fashion accessories,83,10,41,868,3/19/2019,17:08,Ewallet,826,5,41,7.9
326-78-5178,C,Izmir,Member,Male,Food and beverages,91,7,32,672,2/3/2019,10:19,Cash,640,5,32,9.5
162-48-8011,A,Istanbul,Member,Female,Food and beverages,45,5,11,234,2/10/2019,15:10,Cash,223,5,11,8.5
616-24-2851,B,Ankara,Member,Female,Fashion accessories,18,4,4,75,3/22/2019,14:42,Ewallet,71,5,4,6.5
778-71-5554,C,Izmir,Member,Male,Fashion accessories,15,1,1,16,1/25/2019,15:46,Credit card,15,5,1,6.1
242-55-6721,B,Ankara,Normal,Male,Home and lifestyle,16,2,2,34,3/7/2019,11:49,Ewallet,32,5,2,6.5
399-46-5918,C,Izmir,Normal,Female,Electronic accessories,86,8,34,722,2/28/2019,19:01,Cash,688,5,34,8.2
106-35-6779,A,Istanbul,Member,Male,Home and lifestyle,44,2,4,93,3/27/2019,11:26,Cash,89,5,4,5.8
635-40-6220,A,Istanbul,Normal,Male,Health and beauty,90,8,36,753,2/7/2019,11:28,Ewallet,717,5,36,6.6
817-48-8732,A,Istanbul,Member,Female,Home and lifestyle,72,10,36,760,1/20/2019,15:55,Cash,724,5,36,5.4
120-06-4233,C,Izmir,Normal,Male,Electronic accessories,31,6,9,193,3/12/2019,20:36,Cash,184,5,9,9.3
285-68-5083,C,Izmir,Member,Female,Sports and travel,25,3,4,78,2/15/2019,17:47,Credit card,74,5,4,10
803-83-5989,C,Izmir,Normal,Male,Home and lifestyle,56,6,17,351,2/24/2019,10:55,Ewallet,334,5,17,7
347-34-2234,B,Ankara,Member,Female,Sports and travel,55,9,25,520,2/3/2019,13:40,Ewallet,496,5,25,10
199-75-8169,A,Istanbul,Member,Male,Sports and travel,16,10,8,166,3/6/2019,12:27,Credit card,158,5,8,8.6
853-23-2453,B,Ankara,Member,Male,Health and beauty,76,4,15,318,2/14/2019,14:35,Cash,303,5,15,7.6
877-22-3308,A,Istanbul,Member,Male,Health and beauty,16,10,8,167,3/13/2019,16:40,Cash,159,5,8,5.8
838-78-4295,C,Izmir,Normal,Female,Health and beauty,33,2,3,70,2/10/2019,15:43,Ewallet,67,5,3,6.7
109-28-2512,B,Ankara,Member,Female,Fashion accessories,98,6,29,615,1/7/2019,15:01,Ewallet,586,5,29,9.9
232-11-3025,A,Istanbul,Normal,Male,Sports and travel,79,10,39,827,1/24/2019,10:04,Cash,788,5,39,6.4
382-03-4532,A,Istanbul,Member,Female,Health and beauty,18,1,1,19,2/2/2019,18:50,Cash,18,5,1,4.3
393-65-2792,C,Izmir,Normal,Male,Food and beverages,89,10,45,940,1/6/2019,12:46,Credit card,895,5,45,9.6
796-12-2025,C,Izmir,Normal,Male,Fashion accessories,62,10,31,652,2/11/2019,16:19,Cash,621,5,31,5.9
510-95-6347,B,Ankara,Member,Female,Food and beverages,49,3,7,153,3/5/2019,18:17,Ewallet,146,5,7,4
841-35-6630,C,Izmir,Normal,Female,Electronic accessories,76,6,23,478,3/9/2019,18:21,Cash,455,5,23,8.7
287-21-9091,A,Istanbul,Normal,Male,Home and lifestyle,75,9,34,706,1/22/2019,10:55,Ewallet,672,5,34,9.4
732-94-0499,C,Izmir,Normal,Female,Electronic accessories,42,10,21,437,1/13/2019,17:04,Credit card,417,5,21,5.4
263-10-3913,C,Izmir,Member,Male,Fashion accessories,49,9,22,463,1/9/2019,14:20,Credit card,441,5,22,8.6
381-20-0914,A,Istanbul,Member,Female,Fashion accessories,20,9,9,189,1/12/2019,15:48,Credit card,180,5,9,5.7
829-49-1914,C,Izmir,Member,Female,Food and beverages,78,10,39,822,3/5/2019,16:24,Ewallet,783,5,39,6.6
756-01-7507,C,Izmir,Normal,Female,Health and beauty,20,5,5,107,1/22/2019,18:56,Cash,102,5,5,6
870-72-4431,C,Izmir,Normal,Female,Health and beauty,99,6,30,625,1/21/2019,14:42,Credit card,595,5,30,5.5
847-38-7188,B,Ankara,Normal,Female,Food and beverages,97,3,15,305,1/26/2019,19:56,Ewallet,290,5,15,6.4
480-63-2856,C,Izmir,Normal,Male,Food and beverages,19,8,8,162,1/23/2019,18:37,Ewallet,154,5,8,6.6
787-56-0757,C,Izmir,Member,Female,Food and beverages,80,4,16,338,2/23/2019,18:45,Credit card,321,5,16,8.3
360-39-5055,C,Izmir,Member,Male,Sports and travel,49,5,12,257,3/9/2019,10:17,Cash,245,5,12,6.6
730-50-9884,C,Izmir,Normal,Female,Sports and travel,83,7,29,610,3/5/2019,14:31,Ewallet,581,5,29,4
362-58-8315,C,Izmir,Normal,Male,Fashion accessories,77,5,19,402,3/25/2019,10:23,Cash,383,5,19,9.9
633-44-8566,A,Istanbul,Member,Male,Food and beverages,49,7,17,363,3/27/2019,20:35,Credit card,346,5,17,7.3
504-35-8843,A,Istanbul,Normal,Male,Sports and travel,42,1,2,45,1/2/2019,16:57,Cash,42,5,2,5.7
318-68-5053,B,Ankara,Normal,Female,Health and beauty,77,6,23,485,2/27/2019,17:55,Cash,462,5,23,6.1
565-80-5980,C,Izmir,Member,Female,Home and lifestyle,47,4,9,199,1/23/2019,10:25,Cash,190,5,9,7.1
225-32-0908,C,Izmir,Normal,Female,Sports and travel,45,10,22,471,1/26/2019,19:54,Ewallet,449,5,22,8.2
873-51-0671,A,Istanbul,Member,Female,Sports and travel,22,7,8,162,1/10/2019,16:42,Ewallet,154,5,8,5.1
152-08-9985,B,Ankara,Member,Male,Health and beauty,64,9,29,608,3/12/2019,12:09,Credit card,579,5,29,8.6
512-91-0811,C,Izmir,Normal,Male,Health and beauty,90,1,4,94,2/6/2019,20:05,Credit card,90,5,4,6.6
594-34-4444,A,Istanbul,Normal,Male,Electronic accessories,97,1,5,102,3/8/2019,20:38,Ewallet,97,5,5,7.2
766-85-7061,B,Ankara,Normal,Male,Health and beauty,88,10,44,923,3/29/2019,10:25,Ewallet,879,5,44,5.1
871-39-9221,C,Izmir,Normal,Female,Electronic accessories,12,6,4,78,2/9/2019,13:11,Cash,75,5,4,4.1
865-92-6136,A,Istanbul,Normal,Male,Food and beverages,53,3,8,166,3/23/2019,10:16,Ewallet,158,5,8,9.3
733-01-9107,B,Ankara,Normal,Male,Home and lifestyle,83,6,25,521,3/5/2019,18:14,Cash,496,5,25,7.4
163-56-7055,C,Izmir,Member,Male,Fashion accessories,49,1,2,51,3/26/2019,19:20,Cash,49,5,2,4.1
189-98-2939,C,Izmir,Normal,Male,Fashion accessories,79,9,35,742,3/1/2019,13:22,Cash,707,5,35,7.2
551-21-3069,C,Izmir,Normal,Female,Electronic accessories,23,9,10,218,2/1/2019,11:27,Cash,208,5,10,4.9
212-62-1842,A,Istanbul,Normal,Male,Food and beverages,58,6,17,367,3/28/2019,16:44,Cash,350,5,17,9.9
716-39-1409,B,Ankara,Normal,Male,Health and beauty,30,7,11,223,3/19/2019,18:19,Cash,212,5,11,8
704-48-3927,A,Istanbul,Member,Male,Electronic accessories,89,10,44,931,1/12/2019,14:50,Ewallet,887,5,44,7.3
628-34-3388,C,Izmir,Normal,Male,Fashion accessories,27,6,8,172,1/5/2019,20:54,Credit card,164,5,8,7.9
630-74-5166,A,Istanbul,Normal,Male,Sports and travel,62,6,19,391,3/22/2019,20:19,Cash,373,5,19,7.4
588-01-7461,C,Izmir,Normal,Female,Food and beverages,34,9,15,321,3/24/2019,10:43,Cash,306,5,15,4.2
861-77-0145,C,Izmir,Member,Male,Electronic accessories,82,10,41,861,3/3/2019,14:30,Cash,820,5,41,9.2
479-26-8945,B,Ankara,Member,Female,Sports and travel,16,2,2,35,2/5/2019,11:32,Ewallet,33,5,2,4.6
210-67-5886,C,Izmir,Member,Female,Health and beauty,98,3,15,309,2/5/2019,10:41,Credit card,295,5,15,7.8
227-78-1148,B,Ankara,Normal,Female,Fashion accessories,73,7,25,535,2/15/2019,12:44,Cash,510,5,25,8.4
645-44-1170,A,Istanbul,Member,Male,Home and lifestyle,58,9,26,549,1/19/2019,20:07,Ewallet,523,5,26,4.3
237-01-6122,C,Izmir,Member,Female,Home and lifestyle,81,9,36,763,2/1/2019,20:31,Credit card,727,5,36,9.5
225-98-1496,C,Izmir,Normal,Female,Fashion accessories,27,3,4,85,3/2/2019,13:01,Credit card,81,5,4,7.1
291-32-1427,B,Ankara,Member,Male,Fashion accessories,22,5,5,115,3/5/2019,12:29,Ewallet,110,5,5,5.3
659-65-8956,B,Ankara,Member,Male,Fashion accessories,51,1,3,54,1/16/2019,15:26,Ewallet,51,5,3,5.2
642-32-2990,A,Istanbul,Normal,Female,Food and beverages,11,10,5,115,2/2/2019,20:48,Ewallet,110,5,5,6
378-24-2715,B,Ankara,Normal,Male,Home and lifestyle,53,2,5,112,1/20/2019,20:38,Ewallet,107,5,5,4.1
638-60-7125,A,Istanbul,Normal,Female,Electronic accessories,100,8,40,836,2/14/2019,17:03,Credit card,796,5,40,5.2
659-36-1684,C,Izmir,Member,Male,Sports and travel,57,7,20,420,1/12/2019,12:02,Credit card,400,5,20,6.5
219-22-9386,B,Ankara,Member,Male,Sports and travel,100,9,45,945,3/9/2019,17:26,Credit card,900,5,45,4.2
336-78-2147,C,Izmir,Member,Male,Home and lifestyle,64,8,26,537,3/13/2019,19:52,Credit card,511,5,26,4.6
268-27-6179,B,Ankara,Member,Female,Fashion accessories,56,8,23,474,3/9/2019,14:57,Ewallet,452,5,23,7.3
668-90-8900,A,Istanbul,Normal,Female,Home and lifestyle,94,7,33,689,3/10/2019,18:44,Credit card,656,5,33,4.5
870-54-3162,A,Istanbul,Normal,Female,Sports and travel,32,5,8,169,1/27/2019,13:26,Cash,161,5,8,9
189-08-9157,C,Izmir,Normal,Female,Fashion accessories,32,9,14,300,1/8/2019,16:17,Credit card,286,5,14,5.9
663-86-9076,C,Izmir,Member,Female,Food and beverages,69,8,27,576,1/8/2019,15:57,Ewallet,548,5,27,8.5
549-84-7482,B,Ankara,Normal,Female,Sports and travel,90,9,41,853,2/8/2019,11:15,Ewallet,813,5,41,7.2
191-10-6171,B,Ankara,Normal,Female,Fashion accessories,40,7,14,291,1/25/2019,13:18,Cash,277,5,14,7.5
802-70-5316,A,Istanbul,Member,Female,Sports and travel,92,6,28,580,3/6/2019,20:34,Cash,553,5,28,8.3
695-51-0018,B,Ankara,Normal,Female,Sports and travel,35,4,7,146,2/10/2019,18:36,Cash,139,5,7,7.4
590-83-4591,B,Ankara,Member,Male,Electronic accessories,87,6,26,551,2/17/2019,14:40,Credit card,525,5,26,8.8
483-71-1164,C,Izmir,Normal,Female,Health and beauty,81,6,24,512,3/8/2019,16:43,Ewallet,488,5,24,5.3
597-78-7908,C,Izmir,Normal,Male,Fashion accessories,90,3,14,284,2/18/2019,19:39,Cash,271,5,14,6.2
700-81-1757,A,Istanbul,Normal,Female,Electronic accessories,26,5,7,138,1/18/2019,20:59,Credit card,132,5,7,8.8
354-39-5160,A,Istanbul,Member,Female,Home and lifestyle,34,6,10,217,2/18/2019,15:39,Cash,207,5,10,9.8
241-72-9525,B,Ankara,Normal,Male,Sports and travel,52,10,26,545,2/16/2019,12:21,Cash,519,5,26,8.2
575-30-8091,A,Istanbul,Normal,Male,Sports and travel,73,8,29,609,3/16/2019,19:25,Ewallet,580,5,29,9.2
731-81-9469,C,Izmir,Member,Female,Sports and travel,90,10,45,943,1/23/2019,13:00,Credit card,898,5,45,5.4
280-17-4359,C,Izmir,Member,Male,Health and beauty,91,10,45,950,1/25/2019,13:48,Cash,905,5,45,8.1
338-65-2210,C,Izmir,Member,Female,Health and beauty,69,10,34,720,2/5/2019,19:57,Cash,686,5,34,9.1
488-25-4221,C,Izmir,Member,Female,Food and beverages,30,1,2,32,2/22/2019,10:36,Credit card,30,5,2,8.4
239-10-7476,A,Istanbul,Normal,Female,Home and lifestyle,78,6,23,491,1/21/2019,16:37,Ewallet,468,5,23,8
458-41-1477,C,Izmir,Normal,Female,Health and beauty,46,6,14,291,3/8/2019,17:11,Credit card,278,5,14,9.5
685-64-1609,A,Istanbul,Member,Female,Fashion accessories,30,10,15,316,2/10/2019,12:28,Ewallet,301,5,15,9.2
568-90-5112,C,Izmir,Normal,Male,Health and beauty,66,4,13,278,3/19/2019,12:46,Credit card,265,5,13,5.6
262-47-2794,B,Ankara,Member,Male,Home and lifestyle,72,8,29,604,3/6/2019,15:07,Credit card,575,5,29,6.2
238-49-0436,A,Istanbul,Normal,Male,Health and beauty,32,8,13,273,3/27/2019,13:48,Credit card,260,5,13,4.9
608-96-3517,B,Ankara,Member,Female,Fashion accessories,92,4,18,384,3/23/2019,19:20,Credit card,366,5,18,4.8
584-86-7256,C,Izmir,Member,Male,Sports and travel,35,7,12,254,3/11/2019,16:07,Credit card,242,5,12,7.3
746-94-0204,A,Istanbul,Normal,Male,Fashion accessories,83,9,37,787,1/29/2019,11:56,Credit card,749,5,37,7.4
214-17-6927,C,Izmir,Normal,Female,Food and beverages,16,6,5,104,2/7/2019,18:23,Ewallet,99,5,5,9.9
400-89-4171,C,Izmir,Normal,Female,Sports and travel,81,8,32,680,1/28/2019,13:05,Cash,648,5,32,9.3
782-95-9291,A,Istanbul,Member,Male,Food and beverages,92,5,23,485,2/20/2019,15:55,Credit card,461,5,23,9
279-74-2924,B,Ankara,Member,Male,Electronic accessories,72,1,4,76,1/4/2019,19:40,Cash,72,5,4,6.1
307-85-2293,B,Ankara,Normal,Male,Home and lifestyle,50,5,13,264,3/7/2019,13:58,Ewallet,251,5,13,9.7
743-04-1105,B,Ankara,Member,Male,Health and beauty,97,9,44,919,3/30/2019,14:43,Ewallet,875,5,44,6
423-57-2993,B,Ankara,Normal,Male,Sports and travel,93,6,28,588,3/27/2019,19:18,Ewallet,560,5,28,10
894-41-5205,C,Izmir,Normal,Female,Food and beverages,43,8,17,363,1/19/2019,19:39,Credit card,345,5,17,8.3
275-28-0149,A,Istanbul,Normal,Male,Sports and travel,64,1,3,67,2/25/2019,16:21,Cash,64,5,3,6
101-17-6199,A,Istanbul,Normal,Male,Food and beverages,46,7,16,337,3/13/2019,19:44,Credit card,321,5,16,7
423-80-0988,C,Izmir,Normal,Male,Sports and travel,76,2,8,160,1/30/2019,19:42,Ewallet,153,5,8,6.5
548-46-9322,B,Ankara,Normal,Male,Food and beverages,40,10,20,419,2/20/2019,15:24,Credit card,399,5,20,5.9
505-02-0892,B,Ankara,Member,Male,Health and beauty,43,8,17,358,2/25/2019,14:12,Ewallet,341,5,17,5.6
234-65-2137,C,Izmir,Normal,Male,Home and lifestyle,96,10,48,1004,1/16/2019,13:32,Cash,956,5,48,4.8
687-47-8271,A,Istanbul,Normal,Male,Fashion accessories,99,10,49,1039,2/8/2019,16:20,Credit card,990,5,49,8.7
796-32-9050,A,Istanbul,Normal,Male,Food and beverages,51,6,15,323,1/19/2019,16:31,Cash,308,5,15,6.5
105-31-1824,A,Istanbul,Member,Male,Sports and travel,70,7,24,511,2/1/2019,15:10,Credit card,487,5,24,8.5
249-42-3782,A,Istanbul,Normal,Male,Health and beauty,70,5,18,368,1/3/2019,11:36,Ewallet,350,5,18,5.5
316-55-4634,B,Ankara,Member,Male,Food and beverages,80,5,20,420,1/26/2019,12:45,Credit card,400,5,20,9.4
733-33-4967,C,Izmir,Normal,Male,Electronic accessories,21,8,8,175,3/3/2019,19:17,Cash,167,5,8,6.3
608-27-6295,B,Ankara,Member,Male,Electronic accessories,53,6,16,333,1/19/2019,17:34,Credit card,317,5,16,9.8
414-12-7047,B,Ankara,Normal,Male,Food and beverages,20,8,8,166,1/18/2019,12:04,Ewallet,158,5,8,8.7
827-26-2100,A,Istanbul,Member,Male,Home and lifestyle,34,9,15,320,3/21/2019,16:21,Ewallet,305,5,15,8.8
175-54-2529,A,Istanbul,Member,Male,Food and beverages,22,8,9,186,3/3/2019,17:01,Credit card,177,5,9,9.6
139-52-2867,C,Izmir,Normal,Female,Fashion accessories,23,7,8,165,2/13/2019,10:50,Credit card,158,5,8,4.8
407-63-8975,A,Istanbul,Normal,Male,Food and beverages,74,6,22,465,3/23/2019,19:16,Ewallet,443,5,22,4.4
342-65-4817,C,Izmir,Member,Male,Health and beauty,87,3,13,273,1/28/2019,16:47,Ewallet,260,5,13,9.9
130-98-8941,C,Izmir,Normal,Male,Fashion accessories,64,7,22,472,2/9/2019,10:00,Cash,450,5,22,5.7
434-83-9547,C,Izmir,Member,Male,Food and beverages,38,8,15,323,1/23/2019,11:51,Cash,308,5,15,7.7
851-28-6367,A,Istanbul,Member,Male,Sports and travel,16,10,8,163,3/23/2019,10:55,Ewallet,155,5,8,8
824-88-3614,C,Izmir,Normal,Male,Health and beauty,34,8,14,288,1/25/2019,15:00,Ewallet,274,5,14,5.7
586-25-0848,A,Istanbul,Normal,Female,Sports and travel,12,7,4,91,3/4/2019,11:19,Credit card,86,5,4,6.7
895-66-0685,B,Ankara,Member,Male,Food and beverages,18,3,3,57,3/5/2019,19:46,Ewallet,54,5,3,8
305-14-0245,B,Ankara,Member,Female,Home and lifestyle,94,8,38,794,3/3/2019,19:00,Ewallet,756,5,38,7.5
732-04-5373,B,Ankara,Member,Male,Home and lifestyle,46,4,9,195,2/8/2019,10:53,Cash,186,5,9,7
400-60-7251,A,Istanbul,Normal,Male,Home and lifestyle,74,1,4,78,2/10/2019,12:50,Ewallet,74,5,4,9.9
593-65-1552,C,Izmir,Normal,Female,Home and lifestyle,70,4,14,293,1/28/2019,20:50,Credit card,279,5,14,5.9
284-34-9626,B,Ankara,Normal,Female,Home and lifestyle,77,3,12,243,2/11/2019,10:39,Credit card,231,5,12,7.2
437-58-8131,B,Ankara,Normal,Female,Fashion accessories,74,2,7,154,1/15/2019,13:41,Ewallet,147,5,7,4.6
286-43-6208,C,Izmir,Normal,Female,Food and beverages,88,9,40,830,3/16/2019,19:08,Cash,790,5,40,9.2
641-43-2399,B,Ankara,Normal,Male,Home and lifestyle,26,4,5,107,1/26/2019,20:23,Ewallet,102,5,5,5.7
831-07-6050,A,Istanbul,Normal,Male,Electronic accessories,33,5,8,172,3/19/2019,11:30,Credit card,164,5,8,9.9
556-86-3144,C,Izmir,Member,Female,Fashion accessories,74,1,4,78,1/13/2019,19:30,Cash,74,5,4,5
848-24-9445,C,Izmir,Member,Male,Health and beauty,44,2,4,92,3/26/2019,18:03,Cash,87,5,4,4.9
856-22-8149,A,Istanbul,Normal,Female,Home and lifestyle,25,1,1,27,3/23/2019,10:13,Ewallet,25,5,1,6.1
699-01-4164,C,Izmir,Normal,Male,Health and beauty,42,4,8,174,3/12/2019,19:58,Credit card,166,5,8,8.2
420-11-4919,C,Izmir,Member,Female,Food and beverages,71,5,18,375,2/17/2019,19:57,Credit card,357,5,18,5.5
606-80-4905,C,Izmir,Member,Female,Sports and travel,19,6,6,121,1/29/2019,10:01,Credit card,115,5,6,6.8
542-41-0513,B,Ankara,Member,Female,Electronic accessories,57,4,12,241,3/15/2019,11:57,Cash,230,5,12,6.6
426-39-2418,C,Izmir,Normal,Male,Electronic accessories,61,7,21,451,1/14/2019,10:02,Cash,430,5,21,9.8
875-46-5808,B,Ankara,Member,Male,Health and beauty,26,10,13,272,2/6/2019,14:51,Ewallet,259,5,13,8.7
394-43-4238,B,Ankara,Member,Male,Home and lifestyle,18,5,4,93,2/15/2019,12:42,Credit card,89,5,4,5.4
749-24-1565,A,Istanbul,Normal,Female,Health and beauty,23,9,10,218,1/3/2019,12:02,Ewallet,207,5,10,7.9
672-51-8681,C,Izmir,Member,Female,Electronic accessories,67,9,30,630,1/4/2019,18:19,Credit card,600,5,30,9.7
263-87-5680,C,Izmir,Member,Female,Home and lifestyle,29,10,14,300,3/18/2019,17:38,Ewallet,285,5,14,7.8
573-58-9734,B,Ankara,Normal,Female,Fashion accessories,30,3,5,96,3/28/2019,13:41,Ewallet,91,5,5,5.1
817-69-8206,B,Ankara,Normal,Female,Electronic accessories,100,9,45,942,3/2/2019,19:42,Credit card,898,5,45,6.5
888-02-0338,A,Istanbul,Normal,Male,Electronic accessories,26,9,12,248,1/25/2019,20:24,Ewallet,236,5,12,5.9
677-11-0152,C,Izmir,Normal,Female,Food and beverages,93,9,42,881,1/16/2019,18:08,Cash,839,5,42,8.8
142-63-6033,B,Ankara,Normal,Male,Home and lifestyle,92,5,23,485,3/20/2019,19:17,Ewallet,462,5,23,4.9
656-16-1063,B,Ankara,Normal,Male,Sports and travel,46,3,7,146,1/4/2019,13:24,Credit card,139,5,7,4.4
891-58-8335,B,Ankara,Member,Female,Sports and travel,30,7,10,218,3/11/2019,15:53,Cash,207,5,10,6.5
802-43-8934,A,Istanbul,Normal,Male,Home and lifestyle,18,1,1,19,3/22/2019,15:05,Credit card,18,5,1,8.3
560-30-5617,B,Ankara,Normal,Female,Sports and travel,25,5,6,130,3/24/2019,18:27,Cash,124,5,6,8.5
319-74-2561,A,Istanbul,Member,Female,Electronic accessories,95,3,14,298,2/21/2019,16:55,Cash,284,5,14,5.5
549-03-9315,B,Ankara,Normal,Male,Fashion accessories,95,8,38,797,2/12/2019,12:58,Ewallet,759,5,38,8.7
790-29-1172,B,Ankara,Normal,Female,Food and beverages,57,3,9,181,3/10/2019,18:59,Credit card,172,5,9,7.9
239-36-3640,B,Ankara,Normal,Male,Electronic accessories,45,6,14,286,1/31/2019,13:44,Ewallet,272,5,14,6.1
468-01-2051,B,Ankara,Normal,Male,Food and beverages,62,7,22,456,3/6/2019,13:46,Ewallet,435,5,22,5.4
